,avg_star
1168,4.4
1169,4.3
1170,4.1
1171,4.3
1172,4.3
1173,4.3
1174,4.2
1175,4.3
1176,4.4
1177,4.2
1178,4.4
1179,3.3
1180,4.4
1181,4.4
1182,4.4
1183,3.3
1184,4.3
1185,3.9
1186,4.6
1187,4.4
1188,4.4
1189,4.1
1190,3.9
1191,4.3
1192,4.4
1193,3.9
1194,4.3
1195,3
1196,4.4
1197,4.3
1198,4.3
1199,4.2
1200,4.4
1201,4.4
1202,4.3
1203,4.4
1204,4.4
1205,4.3
1206,4.4
1207,4.2
1208,3.9
1209,3.6
1210,4.4
1211,4.3
1212,4.4
1213,4.4
1214,4.3
1215,4.3
1216,4.4
1217,4.2
1218,4.3
1219,4.4
1220,4.3
1221,3.9
1222,4.2
1223,4.6
1224,4.4
1225,4.5
1226,3.8
1227,3.9
1228,4.4
1229,4.3
1230,4.2
1231,3.9
1232,4.6
1233,4.3
1234,4.4
1235,4.3
1236,4.2
1237,4.4
1238,3.6
1239,4.5
1240,4.3
1241,4.4
1242,4.4
1243,4.2
1244,4.4
1245,4.3
1246,4
1247,4.2
1248,4.3
1249,4.5
1250,3.3
1251,4.4
1252,3.9
1253,4.3
1254,3.8
1255,4.4
1256,4.3
1257,4.2
1258,3.9
1259,3.6
1260,3
1261,3.9
1262,3.2
1263,4.1
1264,4.2
1265,3
1266,3
1267,3.8
1268,4.4
1269,4.4
1270,4.3
1271,4.2
1272,4.3
1273,4.4
1274,4.3
1275,4.4
1276,4.4
1277,4.3
1278,4.4
1279,4.3
1280,4.3
1281,3.6
1282,3.3
1283,4.2
1284,4.4
1285,4.2
1286,4.4
1287,4.4
1288,4.3
1289,4.3
1290,4.4
1291,3
1292,3.3
1293,4.4
1294,4.3
1295,4.6
1296,4.2
1297,4.4
1298,4.2
1299,4.3
1300,3.2
1301,3
1302,4.2
1303,4.3
1304,4.4
1305,4.2
1306,4.4
1307,4.2
1308,4.3
1309,3.3
1310,4.3
1311,3
1312,4.3
1313,4.2
1314,4.2
1315,4.3
1316,3.8
1317,4.6
1318,4.4
1319,4.4
1320,3.3
1321,4.6
1322,4.3
1323,4.4
1324,4.4
1325,4.3
1326,4.4
1327,3.6
1328,4.4
1329,3.2
1330,4.2
1331,3.3
1332,3.3
1333,4.4
1334,4.3
1335,4.3
1336,4.4
1337,4.3
1338,3.6
1339,3
1340,4.4
1341,4.3
1342,4.4
1343,4.3
1344,3.5
1345,4.3
1346,4.4
1347,4.4
1348,3.9
1349,4.3
1350,4.4
1351,4.3
1352,4.3
1353,3.3
1354,4.3
1355,3.8
1356,4.6
1357,3.6
1358,3.6
1359,3.8
1360,3.2
1361,3.2
1362,3.9
1363,4.3
1364,4.4
1365,3.3
1366,3.9
1367,4.6
1368,3.3
1369,4.3
1370,4.4
1371,3.3
1372,4.3
1373,4.4
1374,4.4
1375,4.1
1376,4.4
1377,4.1
1378,4.2
1379,3.9
1380,4.4
1381,4.3
1382,4.2
1383,4.2
1384,4.4
1385,3.9
1386,4.4
1387,4.3
1388,3.6
1389,4.3
1390,3.3
1391,3
1392,3.6
1393,3.6
1394,4.2
1395,3
1396,4.4
1397,4.3
1398,4.3
1399,4.5
1400,3.6
1401,4.2
1402,4.2
1403,3
1404,4.4
1405,4.2
1406,4.6
1407,3.3
1408,3.3
1409,4.2
1410,3.5
1411,4.3
1412,4.3
1413,4.6
1414,4.4
1415,3.6
1416,3.3
1417,4.4
1418,4.3
1419,4.6
1420,4.3
1421,3.2
1422,4.4
1423,4.4
1424,4
1425,3.8
1426,3.9
1427,4.4
1428,4.3
1429,4.4
1430,4.3
1431,4.2
1432,3
1433,4.3
1434,4.6
1435,4.2
1436,4.2
1437,4.3
1438,4.3
1439,4.4
1440,4.2
1441,4.5
1442,4.4
1443,4.4
1444,4.4
1445,4.3
1446,4.2
1447,3.9
1448,4.4
1449,3.3
1450,3.6
1451,3.9
1452,3.6
1453,4.4
1454,4.3
1455,4.3
1456,4.4
1457,4.4
1458,4.4
1459,4.3
1460,4.3
1461,4.4
1462,3.6
1463,3.9
1464,4.2
1465,3.6
1466,4.4
1467,4.2
1468,4.4
1469,4.5
1470,3.3
1471,4.3
1472,4.1
1473,3.6
1474,4.4
1475,3
1476,3.3
1477,4.4
1478,4.4
1479,4.3
1480,4.3
1481,4.4
1482,4.4
1483,4.4
1484,4.3
1485,3.2
1486,4.3
1487,4.3
1488,4.2
1489,3.3
1490,4.4
1491,4.3
1492,3.9
1493,4.3
1494,4.4
1495,4.1
1496,4.4
1497,3.3
1498,4
1499,3.2
1500,4.4
1501,4.4
1502,4.4
1503,4.4
1504,3
1505,4.3
1506,4.1
1507,4.3
1508,3.9
1509,4.2
1510,4.4
1511,3.6
1512,4.3
1513,4.3
1514,4.3
1515,3.9
1516,4.2
1517,4.4
1518,4.4
