"[678, 0.45, -0.4]"
"[678, 0.5, -0.3]"
"[678, 0.2, -0.7]"
"[678, 0.0, 0.0]"
"[536, 0.5125, 0.4453125]"
"[536, 0.35555555555555557, 0.1777777777777778]"
"[536, 0.5, 0.5]"
"[536, 0.31250000000000006, -0.07500000000000001]"
"[536, 0.35714285714285715, 0.31428571428571433]"
"[2623, 0.3, 1.0]"
"[2623, 0.35714285714285715, 0.0]"
"[2623, 0.22083333333333333, -0.0625]"
"[2623, 0.35, 0.2225]"
"[2623, 0.5694444444444444, 0.21388888888888888]"
"[2623, 0.4973809523809525, 0.1925297619047619]"
"[2623, 0.5, 0.11458333333333334]"
"[2623, 0.32500000000000007, 0.25]"
"[2623, 0.3833333333333333, 0.05]"
"[2623, 1.0, 1.0]"
"[2623, 0.21428571428571427, -0.07142857142857142]"
"[2623, 0.0, 0.0]"
"[2623, 0.06666666666666667, 0.0]"
"[2623, 0.7166666666666668, 0.6]"
"[2623, 0.3916666666666666, -0.10833333333333334]"
"[2623, 0.1, 0.1]"
"[2623, 0.6499999999999999, 0.15]"
"[2623, 0.2875, -0.2125]"
"[2623, 0.825, 0.075]"
"[2623, 0.45, -0.025]"
"[2623, 0.5625, 0.37]"
"[2623, 0.6499999999999999, 0.15]"
"[2623, 0.45, 0.30000000000000004]"
"[2623, 0.625, 0.0]"
"[2623, 0.5399999999999999, 0.16]"
"[1761, 0.0, 0.0]"
"[1761, 0.55, 0.15625]"
"[1761, 0.5, 0.13333333333333333]"
"[1761, 0.75, 0.0]"
"[1761, 0.6, 0.1]"
"[1761, 0.0, 0.0]"
"[1761, 0.3173076923076923, 0.26666666666666666]"
"[1761, 0.9666666666666667, 0.43333333333333335]"
"[1761, 0.45454545454545453, 0.13636363636363635]"
"[1, 0.5, -0.2]"
"[646, 1.0, 0.78]"
"[646, 0.0, 0.0]"
"[3709, 1.0, 0.6]"
"[3709, 0.9166666666666667, 0.49833333333333335]"
"[3709, 0.6428571428571429, 0.21428571428571427]"
"[3709, 0.28125, -0.0625]"
"[602, 0.7, -0.4]"
"[602, 0.6, -0.06666666666666667]"
"[602, 0.5, 0.0]"
"[602, 0.8333333333333334, 0.43333333333333335]"
"[602, 0.726, 0.504]"
"[602, 0.5, 0.625]"
"[176, 0.7261904761904762, 0.5]"
"[176, 0.0, 0.0]"
"[176, 0.5454545454545454, 0.22727272727272727]"
"[176, 0.0, 0.0]"
"[3061, 0.8, 0.6]"
"[3061, 0.4791666666666667, 0.20416666666666666]"
"[3061, 0.5, 0.3333333333333333]"
"[3061, 1.0, -0.6]"
"[3061, 0.7000000000000001, -0.19999999999999998]"
"[3061, 0.95, 0.39999999999999997]"
"[3061, 0.5, 0.3333333333333333]"
"[3061, 0.4, -0.3]"
"[3061, 1.0, -0.6]"
"[2757, 0.0, 0.0]"
"[2757, 0.0, 0.0]"
"[2757, 0.6, 0.0]"
"[1881, 0.5, 0.5]"
"[1881, 0.5, 0.4166666666666667]"
"[1881, 0.475, -0.375]"
"[1536, 0.5111111111111112, 0.08888888888888886]"
"[1536, 0.65, 0.07500000000000004]"
"[3090, 0.6000000000000001, 1.0]"
"[3090, 0.6555555555555556, 0.3583333333333334]"
"[1780, 0.125, 0.125]"
"[1780, 0.5166666666666667, 0.05000000000000001]"
"[1780, 0.21666666666666667, -0.08333333333333333]"
"[1780, 0.1, 0.0]"
"[1780, 0.6, -0.4]"
"[1780, 0.1, 0.0]"
"[1780, 0.3833333333333333, 0.10000000000000002]"
"[1780, 0.6, 0.0]"
"[890, 0.43333333333333335, 0.3]"
"[890, 0.2, 0.2]"
"[890, 0.5, 0.4]"
"[890, 0.7999999999999999, 0.004166666666666652]"
"[1225, 0.0, 0.0]"
"[2461, 0.30952380952380953, 0.07142857142857142]"
"[2461, 0.6000000000000001, 0.7]"
"[2461, 0.5, 0.0]"
"[2461, 0.2875, -0.1125]"
"[224, 0.425, 0.4]"
"[224, 0.5416666666666667, 0.13333333333333333]"
"[224, 0.5416666666666666, 0.39166666666666666]"
"[224, 0.4629629629629629, 0.12222222222222223]"
"[224, 0.13333333333333333, -0.10833333333333334]"
"[224, 0.5477777777777778, 0.25]"
"[2709, 0.3522727272727273, 0.06818181818181818]"
"[2709, 0.0, 0.0]"
"[2709, 0.7650000000000001, 0.855]"
"[2709, 0.3666666666666667, -0.16666666666666666]"
"[2709, 0.5, -0.2]"
"[2709, 0.28888888888888886, 0.011111111111111118]"
"[2709, 0.5772727272727273, 0.41818181818181815]"
"[2709, 0.2333333333333333, 0.03333333333333333]"
"[2709, 0.7, 0.4]"
"[2709, 0.06666666666666667, -0.16666666666666666]"
"[2709, 0.5947871572871573, 0.2305194805194805]"
"[2709, 0.0, 0.0]"
"[2709, 0.6796296296296296, 0.10833333333333334]"
"[2709, 0.3939393939393939, 0.1515151515151515]"
"[2709, 0.2708333333333333, -0.14583333333333331]"
"[2709, 0.6, 0.2]"
"[2709, 0.0, 0.0]"
"[2709, 0.1, 0.3]"
"[2709, 0.5, 0.0]"
"[2709, 0.7625, 0.225]"
"[2709, 0.25, -0.25]"
"[2709, 0.8333333333333334, 0.43333333333333335]"
"[2709, 0.725, 0.27944444444444444]"
"[2709, 0.0, 0.0]"
"[2709, 0.7166666666666667, 0.31666666666666665]"
"[2709, 0.8450000000000001, 0.45499999999999996]"
"[2709, 0.375, -0.25]"
"[2709, 0.0, 0.0]"
"[2709, 0.0, 0.0]"
"[2709, 0.0, 0.0]"
"[2709, 0.0, 0.0]"
"[2709, 0.0, 0.0]"
"[2709, 0.5916666666666667, -0.30833333333333335]"
"[2709, 0.16666666666666666, -0.16666666666666666]"
"[2709, 0.5, 0.5]"
"[3676, 0.33125, -0.01875]"
"[3676, 0.45749999999999996, 0.0175]"
"[3649, 0.3333333333333333, 0.3333333333333333]"
"[3649, 0.0, 0.0]"
"[3649, 0.6, -0.033333333333333326]"
"[3649, 0.6166666666666667, -0.125]"
"[3649, 0.6875, 0.1375]"
"[3774, 0.45, -0.14375]"
"[3774, 0.7800000000000001, 0.9099999999999999]"
"[3774, 0.06666666666666667, 0.0]"
"[3774, 0.375, -0.125]"
"[3774, 0.3333333333333333, 0.25]"
"[3774, 0.1, 0.0]"
"[3774, 0.0, 0.0]"
"[3774, 0.6166666666666667, 0.11666666666666664]"
"[3774, 1.0, -0.1]"
"[3774, 0.1, 0.0]"
"[3774, 0.0, 0.0]"
"[3774, 0.9, -0.6]"
"[3774, 0.7071428571428572, 0.1880952380952381]"
"[3774, 0.6416666666666667, 0.125]"
"[3774, 0.3, 0.0]"
"[3774, 0.0, 0.0]"
"[3774, 0.6, 0.0]"
"[3774, 0.0, 0.0]"
"[3774, 0.75, 0.8]"
"[3774, 0.5666666666666668, -0.35000000000000003]"
"[740, 0.4375, 0.2]"
"[740, 0.5714285714285714, -0.10714285714285714]"
"[740, 0.0, 0.0]"
"[740, 0.7800000000000001, 0.9099999999999999]"
"[740, 0.6111111111111112, 0.18333333333333335]"
"[740, 0.25, 0.25]"
"[740, 0.52, 0.33]"
"[740, 0.2, -0.1]"
"[740, 0.5727272727272728, 0.4636363636363636]"
"[740, 0.0, 0.0]"
"[740, 1.0, 0.52]"
"[740, 0.0, 0.0]"
"[740, 0.3, 0.2]"
"[740, 0.0, 0.0]"
"[740, 0.0, 0.0]"
"[740, 0.525, 0.175]"
"[740, 0.75, 0.8]"
"[740, 0.1, 0.0]"
"[740, 0.375, -0.125]"
"[740, 0.0, 0.0]"
"[2985, 0.1, 0.0]"
"[2985, 0.38333333333333336, 0.26666666666666666]"
"[2985, 0.4666666666666666, -0.06666666666666667]"
"[2985, 0.0, 0.0]"
"[2985, 0.1, 0.0]"
"[2985, 0.4976190476190476, 0.33809523809523806]"
"[2985, 0.3416666666666667, 0.10833333333333334]"
"[2985, 1.0, 0.0]"
"[2985, 0.623015873015873, 0.44801587301587303]"
"[2985, 0.875, -0.5]"
"[2985, 0.3333333333333333, 0.27777777777777773]"
"[2985, 0.8333333333333333, 0.33333333333333337]"
"[1193, 0.3133333333333333, 0.22]"
"[1193, 1.0, 0.525]"
"[1193, 0.4375, -0.0625]"
"[1193, 1.0, 0.0]"
"[1193, 0.58125, 0.12187499999999998]"
